hdbscan_filled_cluster,GO_hit,gene_symbols,annotated_label
359,ESC/E(Z) complex,AEBP2 ARHGAP19 BMI1 CABLES2 CCNA1 CCNA2 CDCA7 CDCA7L CEP44 CXXC1 DPF3 ELL2 EZH1 EZH2 FAM124A JMJD6 KCTD18 KIF2B MTF2 NFATC2IP OGFR PHF19 PIAS4 PPM1D RAB3IP RNF220 RNF6 RNPC3 SAV1 SH2B2 SMARCB1 SOCS4 SOCS5 SPRED2 TADA2B TMEM201 TOR1AIP1 WEE1 XRCC1 ZC3H7A ZMYND15,
171,ESCRT III complex,ATP6V1D ATP6V1E1 ATP6V1E2 ATP6V1G1 ATP6V1G2 ATP6V1G3 CHMP1A CHMP1B CHMP2A CHMP2B CHMP3 CHMP4A CHMP4B CHMP5 PDCD5 PFDN1 PFDN2 PFDN5 PFDN6 RGS20 SSNA1 STX17 TBCA YKT6,
14,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",ACKR1 ACKR2 ACKR3 ACKR4 ADORA1 ADORA2A ADORA2B ADORA3 ADRA1A ADRA1B ADRA1D ADRA2A ADRA2B ADRA2C ADRB1 ADRB2 ADRB3 AGTR1 APLNR AVPR1A AVPR1B BDKRB1 BDKRB2 C3AR1 C5AR1 C5AR2 CCKAR CCKBR CCR1 CCR10 CCR2 CCR3 CCR4 CCR5 CCR6 CCR7 CCR8 CCR9 CCRL2 CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CMKLR1 CNR1 CNR2 CX3CR1 CXCR1 CXCR2 CXCR4 CXCR5 CXCR6 CYSLTR2 DRD1 DRD2 DRD3 DRD4 DRD5 EDNRA EDNRB F2R F2RL1 F2RL2 F2RL3 FFAR1 FFAR2 FFAR3 FFAR4 FPR1 FPR2 FPR3 GALR1 GALR2 GALR3 GHSR GNRHR GPBAR1 GPER1 GPR12 GPR132 GPR135 GPR139 GPR141 GPR142 GPR146 GPR148 GPR149 GPR15 GPR150 GPR151 GPR152 GPR157 GPR160 GPR161 GPR162 GPR17 GPR171 GPR176 GPR18 GPR182 GPR183 GPR19 GPR20 GPR21 GPR22 GPR25 GPR26 GPR27 GPR3 GPR31 GPR32 GPR33 GPR35 GPR37 GPR37L1 GPR39 GPR4 GPR42 GPR45 GPR52 GPR55 GPR6 GPR61 GPR62 GPR63 GPR65 GPR68 GPR75 GPR78 GPR83 GPR84 GPR85 GPR87 GPR88 HCAR1 HCAR2 HCAR3 HCRTR1 HCRTR2 HRH1 HRH2 HRH3 HRH4 HTR1A HTR1B HTR1D HTR1E HTR1F HTR2A HTR2B HTR4 HTR5A HTR6 HTR7 KISS1R LPAR1 LPAR2 LPAR3 LPAR5 LPAR6 LTB4R LTB4R2 MAS1 MAS1L MC1R MC2R MC3R MC4R MC5R MCHR1 MCHR2 MLNR MRGPRD MRGPRE MRGPRF MRGPRG MRGPRX1 MRGPRX2 MRGPRX3 MRGPRX4 MTNR1A MTNR1B NMBR NMUR1 NMUR2 NPBWR1 NPBWR2 NPFFR1 NPFFR2 NPSR1 NPY1R NPY2R NPY4R NPY4R2 NPY5R NTSR1 NTSR2 OPN1SW OPN3 OPN4 OPN5 OPRD1 OPRK1 OPRL1 OXER1 OXGR1 OXTR P2RY1 P2RY11 P2RY12 P2RY13 P2RY14 P2RY2 P2RY6 PRLHR PROKR1 PROKR2 PTAFR PTGDR PTGDR2 PTGER1 PTGER2 PTGER3 PTGER4 PTGFR PTGIR QRFPR RGR RHO RRH RXFP3 RXFP4 S1PR1 S1PR2 S1PR3 S1PR4 S1PR5 SLC10A4 SSTR1 SSTR2 SSTR3 SSTR4 SSTR5 SUCNR1 TAAR1 TAAR2 TAAR5 TAAR6 TAAR8 TAAR9 TACR1 TACR2 TACR3 TBXA2R TMEM116 TMEM217 TRHR UTS2R XCR1,
174,G-protein alpha-subunit binding,BANF2 RGS1 RGS10 RGS13 RGS16 RGS17 RGS18 RGS19 RGS2 RGS21 RGS4 RGS8,
175,G-protein beta-subunit binding,GNG11 GNG12 GNG13 GNG14 GNG2 GNG3 GNG4 GNG7 GNG8 GNGT1 GNGT2 SERP2,
29,G-protein beta/gamma-subunit complex binding,GNA11 GNA12 GNA13 GNA14 GNA15 GNAI1 GNAI2 GNAI3 GNAL GNAO1 GNAQ GNAS GNAT1 GNAT2 GNAT3 GNAZ,
27,GDP binding,ARF1 ARF3 ARF4 ARF5 ARF6 ARFRP1 ARL1 ARL10 ARL11 ARL13B ARL14 ARL15 ARL17A ARL17B ARL2 ARL3 ARL4A ARL4C ARL4D ARL5A ARL5B ARL5C ARL6 ARL8A ARL8B ARL9 B9D1 CDC42 DIRAS1 DIRAS2 DIRAS3 DNAJC27 DYNC2LI1 GEM HRAS IFT22 IFT27 KRAS MRAS NKIRAS1 NKIRAS2 NRAS RAB10 RAB11A RAB11B RAB12 RAB13 RAB14 RAB15 RAB17 RAB18 RAB19 RAB1A RAB1B RAB20 RAB22A RAB23 RAB24 RAB25 RAB26 RAB27A RAB27B RAB28 RAB29 RAB2A RAB2B RAB30 RAB31 RAB32 RAB33B RAB34 RAB35 RAB36 RAB37 RAB38 RAB39A RAB3A RAB3C RAB3D RAB40B RAB40C RAB42 RAB43 RAB4A RAB4B RAB5A RAB5B RAB5C RAB6A RAB6B RAB6C RAB6D RAB7A RAB7B RAB8A RAB8B RABL2A RABL2B RABL3 RAC1 RAC2 RAC3 RALA RALB RAN RAP1A RAP2A RAP2B RASD1 RASD2 RASL10A RASL10B RASL11A RASL11B RASL12 REM1 RERG RERGL RHEB RHEBL1 RHOA RHOB RHOC RHOD RHOF RHOG RHOH RHOJ RHOQ RHOU RHOV RIT1 RIT2 RND1 RND2 RND3 RRAD RRAGA RRAS RRAS2 SAR1A SAR1B,
64,GPI-linked ephrin receptor activity,ALK AXL BMPR1B CSF1R DDR1 DDR2 EGFR EPHA1 EPHA10 EPHA2 EPHA3 EPHA4 EPHA5 EPHA7 EPHA8 EPHB1 EPHB2 EPHB3 EPHB4 EPHB6 ERBB2 ERBB3 ERBB4 FGFR1 FGFR2 FGFR3 FGFR4 FLT1 FLT3 FLT4 GUCY2C IGF1R INSR INSRR KDR KIT LTK MERTK MET MST1R MUSK NPR1 NTRK1 NTRK2 PDGFRA PDGFRB RET ROR1 ROR2 TEK TIE1 TYRO3,
249,Golgi cis cisterna,CCDC105 CCDC170 CCDC196 CFAP58 GOLGA6A GOLGA6B GOLGA6C GOLGA6D GOLGA6L1 GOLGA6L10 GOLGA6L2 GOLGA6L22 GOLGA6L4 GOLGA6L6 GOLGA6L7 GOLGA6L9 GOLGA8A GOLGA8B GOLGA8F GOLGA8H GOLGA8J GOLGA8K GOLGA8N GOLGA8O GOLGA8Q GOLGA8R GOLGA8S GOLGA8T IVL LRSAM1 SYCE1 SYCE1L TCHH TEKT1 TEKT2 TEKT3 TEKT4 TEKT5 TMCO5A,
147,Golgi lumen,C11orf24 C1orf54 CD164 CD34 CD44 CD68 CSF1 CX3CL1 CXCL16 DAG1 DYNAP ECSCR EMCN EQTN EVI2A EVI2B FCAMR FXYD5 GYPA GYPB GYPE HEG1 HHLA1 LAMP3 LYVE1 MANSC1 MANSC4 MUC1 MUC13 MUC15 MUC20 MUC21 MUC22 MUC3A MUCL3 PARM1 PDPN PMEL PODXL PRG4 SDC1 SDC3 SELPLG SPN TMEM108 TMEM123,
